,Title,Category
0,FBA Inventory Storage Fee,Fufillment by Amazon
1,UPS FBA Rates went up?,Fufillment by Amazon
2,Need to speak to an Human at Amazon ASAP!,Fufillment by Amazon
3,ONT8 container rejected,Fufillment by Amazon
4,Had to Change packaging. Do I need a new listing?,Fufillment by Amazon
5,How to reach Customer Service on the Phone?,Fufillment by Amazon
6,Inventory Dashboard: Restock Inventory: Days of Supply Issue - Anyone else having this issue?,Fufillment by Amazon
7,Can’t create shipping plan with third-party freight forwarder,Fufillment by Amazon
8,FBA Removal Pending 4+ months,Fufillment by Amazon
9,FBA sometimes shows to have received only 1 item per SKU,Fufillment by Amazon
10,Amazon will not removed feedback on FBA service related comment,Fufillment by Amazon
11,Delays in FBA shipment check in,Fufillment by Amazon
12,Shipping plan cannot be completed,Fufillment by Amazon
13,One of my products are under investigation and I’m paranoid,Fufillment by Amazon
14,Can’t list FBA on Seller App,Fufillment by Amazon
15,How to track a TBA FBA order?,Fufillment by Amazon
16,Restricted Product Approval,Fufillment by Amazon
17,Amazon Freight LTL - Refusing to schedule pickup,Fufillment by Amazon
18,What are the possible return reasons?,Fufillment by Amazon
19,Is SDF8 working?,Fufillment by Amazon
20,Shipping hazardous (they say) items,Fufillment by Amazon
21,10 sales with no bsr ranking?,Fufillment by Amazon
22,Shipping internationally to FBA,Fufillment by Amazon
23,"AZ won’t change my item weight, thus it’s miscategorized",Fufillment by Amazon
24,Shipping quotation from manufacturer,Fufillment by Amazon
25,Amazon Redlands Fire - Report to know if our inventory was affected?,Fufillment by Amazon
26,"Trying to create my first FBA since March, not letting me",Fufillment by Amazon
27,Products from china pay taxes to enter USA?,Fufillment by Amazon
28,Manage Pricing page loading very slowly,Fufillment by Amazon
29,FBA Inventory Storage Fee,Fufillment by Amazon
30,UPS FBA Rates went up?,Fufillment by Amazon
31,Need to speak to an Human at Amazon ASAP!,Fufillment by Amazon
32,ONT8 container rejected,Fufillment by Amazon
33,Had to Change packaging. Do I need a new listing?,Fufillment by Amazon
34,How to reach Customer Service on the Phone?,Fufillment by Amazon
35,Inventory Dashboard: Restock Inventory: Days of Supply Issue - Anyone else having this issue?,Fufillment by Amazon
36,Can’t create shipping plan with third-party freight forwarder,Fufillment by Amazon
37,FBA Removal Pending 4+ months,Fufillment by Amazon
38,FBA sometimes shows to have received only 1 item per SKU,Fufillment by Amazon
39,Amazon will not removed feedback on FBA service related comment,Fufillment by Amazon
40,Delays in FBA shipment check in,Fufillment by Amazon
41,Shipping plan cannot be completed,Fufillment by Amazon
42,One of my products are under investigation and I’m paranoid,Fufillment by Amazon
