,Title
0,Welcome to the MyPaint Community!
1,Dragons and fnaf
2,Mouse Pointer Vanishes
3,Star Trek Tribute
4,Christmas for Brothers and Sister
5,A cross at the end of each stroke
6,New Developer Looking For Some Code Pointers
7,MyPaint v2.0.1 Released
8,MyPaint v2.0.0 Released
9,Add Selection Tools
10,When will MyPaint 2.0.0 packaged into repositories?
11,Any way to get this effect?
12,MyPaint v2.0.0 Postponed
13,Disable checkboard during Layer Solo mode?
14,MyPaint + Krita + Cube i7 Tablet - together
15,Making Krita feel like MyPaint?
16,Dieterle’s MyPaintings
17,Wacom Rotation Stylus support for Windows
18,Ability to Edit the “Change Bursh/Color” list via a Submenu
19,Parallel (Example Post)
20,Artzox’s Artworks
21,Wacom One 13 with MyPaint
22,Mega Menu to sort by type within brush set
23,Hello
24,Challenge: reproduce (not exactly but close) this picture
25,How to switch language?
26,Unable to load any file
27,Randomly generated end of stroke
28,Making it easier to to view dockable window
29,Overview panel preview settings
30,Welcome to the MyPaint Community!
31,Dragons and fnaf
32,Mouse Pointer Vanishes
33,Star Trek Tribute
34,Christmas for Brothers and Sister
35,A cross at the end of each stroke
36,New Developer Looking For Some Code Pointers
37,MyPaint v2.0.1 Released
38,MyPaint v2.0.0 Released
39,Add Selection Tools
40,When will MyPaint 2.0.0 packaged into repositories?
41,Any way to get this effect?
42,MyPaint v2.0.0 Postponed
43,Disable checkboard during Layer Solo mode?
44,MyPaint + Krita + Cube i7 Tablet - together
45,Making Krita feel like MyPaint?
46,Dieterle’s MyPaintings
47,Wacom Rotation Stylus support for Windows
48,Ability to Edit the “Change Bursh/Color” list via a Submenu
49,Parallel (Example Post)
50,Artzox’s Artworks
51,Wacom One 13 with MyPaint
52,Mega Menu to sort by type within brush set
53,Hello
54,Challenge: reproduce (not exactly but close) this picture
55,How to switch language?
56,Unable to load any file
57,Randomly generated end of stroke
58,Making it easier to to view dockable window
59,Overview panel preview settings
60,Increase Undo History Length
61,Port Pinta as part of a mode inside MyPaint
62,Failed to build
63,Introduce Yourself
64,Support for Windows on ARM
65,Selling Artwork
66,Can’t save smoothing as a brush setting?
67,2nd monitor
68,“edit layer in external app” automatically launches MSpaint
69,State of Libre Graphics 2020
70,Surface Pro Pen – Flip for eraser
71,Wacom Mobile Studio Pro 16
72,Win10 Wacom MobileStudio Pro 13 – no pressure sensitivity
73,Separate Opacity per Paintmode? or eraser toggle other than “e”?
74,Wish mypaint add a recording painting script function. Very useful
75,Mypaint draws some way off of the cursor when I’m drawing with my graphics tablet
76,Seeking feedback: pigment setting options
77,Different exporting options for “Multiple .PNG”
78,MyPaint v2.0.0-beta.0 Released
